##Code;Name;Synonyms;Credits;Pre-requisites;Co-requisites;Terms Offered;Schedule Name;Difficulty Level
WP1010;Introduction to Academic Writing;;3;;;alltimes;;
WP1111;Integrated Academic Writing & Ethics;;3;WP1010;;alltimes;;
WP1212;Academic Writing and Research;;3;WP1010,WP1111;;alltimes;;
SP2300;Presentation Skills;;3;WP1010,WP1212,WP1111;;alltimes;;
EN3742;Professional Communication;;3;WP1010,WP1212,WP1111;;alltimes;;
HC2300;Professional Communications;;3;WP1010,WP1212,WP1111;;alltimes;;
MA1000;Mathematics for the Liberal Arts;;3;;;alltimes;Math core (Mathematics for the Liberal Arts);
MA2105;Applied Calculus;MA2205 ;3;MA1008;;alltimes;Math core (Applied Calculus);
MA1008;Linear Algebra;MA1108 ;3;;;alltimes;Math core (Linear Algebra);
CS1070;Introduction to Information Systems;;3;;;everyfall everyspring;Computer Literacy (CS1070);
ITC1070;Information Technology Fundamentals;;3;;;everyfall everyspring everysummer2;Computer Literacy (ITC1070);
BI1008;Introduction to Human Biology;;4;;;everyfall;;
PS1000;Psychology as a Natural Science;;3;;;everyfall everyspring everysummer1 everysummer2;;
PS1001;Psychology as a Social Science;;3;;;everyfall everyspring everysummer1 everysummer2;;
MA2010;Statistics I;;3;;;alltimes;Math core (Statistics I);
MA2021;Applied Statistics for Business;;3;;;alltimes;Math core (Applied Statistics for Business);
MA2025;Applied Statistics for Science;;3;;;alltimes;Math core (Applied Statistics for Science);
PS2207;Infancy and Preschool Years;;3;PS1000,PS1001;;everyfall everyspring;;
PS2236;Human Learning and Memory;;3;PS1000,PS1001;;everyfall everyspring everysummer1;;
PS2260;Introduction to Statistical Analysis;SO2260 ;2;PS1000,PS1001;;everyfall everyspring everysummer1;;
PS2347;Analysis of Quantitative Data;;4;PS2260,PS1000,PS1001;;everyfall everyspring everysummer1;;
PS2010;History and Systems of Psychology;;3;;;everyfall everyspring everysummer1;;
PS2257;Psychology of Diversity and Social Issues;Diversity_&_Social_Interaction ;3;PS1000,PS1001;;everyfall everyspring everysummer1;;
PS3518;Nonexperimental Research in Psychology;Research_Methods_in_Psychology_formerly_PS3618 ;4;PS2260,PS2207,PS2236,PS1000,PS1001;PS2347;everyfall everyspring;;
PS3630;Biological Psychology;Bio-psychology ;3;PS2260,BI1008,PS2236,PS2347,PS1000,PS1001;;everyfall everyspring everysummer1;;
PS3526;Social Psychology: Theories and Applications;PS3626 ;3;PS2260,PS2257,PS2010,PS1000,PS1001;;everyfall everyspring;;
PS3512;Personality Psychology and Individual Differences;Theories_of_Personality_formerly_PS3612 ;3;PS2260,PS2257,PS2010,PS1000,PS1001;;everyfall everyspring everysummer1;;
PS3532;Testing and Assessment;PS3632 ;4;PS2260,PS2236,PS2347,PS1000,PS1001;;everyfall everyspring everysummer1;;
PS3734;Experimental Cognitive Psychology;;4;PS3518,PS2260,PS2207,PS2236,PS2347,PS1000,PS1001;;everyfall everyspring;;
PS3508;Child and Adolescence Development;Developmental_Psychology_formerly_PS3608 ;3;PS2260,PS2207,PS2236,PS1000,PS1001;;everyfall everyspring everysummer1;;
PS3509;Adulthood and Aging;PS3609 ;3;PS2260,PS2207,PS2236,PS1000,PS1001;;everyfall everyspring;;
PS4839;Advanced Topics in Cognitive Psychology;Cognition ;3;PS3518,PS2260,PS3734,PS2207,PS2236,PS2347,PS1000,PS1001;;everyfall everyspring;;
PS4751;Adult Psychopathology;Abnormal_Psychology ;3;PS2260,BI1008,PS2236,PS2347,PS1000,PS3630,PS1001;;everyfall everyspring;;
PS4861;Final Year Project I;;2;PS3518,PS2260,PS3734,PS2207,PS2236,PS2347,PS1000,PS1001;;everyfall everyspring;;
PS4935;Final Year Project II;;4;PS3518,PS2260,PS3734,PS2207,PS2236,PS2347,PS1000,PS1001,PS4861;;everyfall everyspring;;
PS4652;Psychotherapy and Counselling;Schools_of_Psychotherapy_formerly_PS4752 ;3;PS2260,PS3508+PS3509,PS3512,PS2010,PS1000,PS1001;;everyfall everyspring;;
PS4744;Addictive Behaviours and Mental Health;Psychology_of_Addiction ;3;PS2260,BI1008,PS2236,PS2347,PS1000,PS3630,PS1001;;everyfall everyspring everysummer1;;
PS4643;Child and Adolescent Psychopathology;PS4943_PS4743 ;3;PS3508,PS2260,PS2207,PS2236,PS1000,PS1001;;everyfall everyspring;;
PS4662;Trauma and Resilience;PS4762 ;3;PS2260,PS2257,PS3512,PS2010,PS1000,PS1001;;everyfall everyspring;;
PS4719;Health and Lifelong Adaptation;Health_Psychology ;3;PS2260,BI1008,PS2236,PS2347,PS1000,PS3630,PS1001;;everyspring;;
PS4924;Industrial/Organizational Psychology;;3;PS2260,PS3526,PS2207,PS2257,PS3532,PS2347,PS2010,PS1000,PS1001;;everyfall;;
PS4649;Forensic Psychology;PS4849_PS4749 ;3;PS2260,PS2236,PS3512,PS2347,PS2010,PS1000,PS1001;;everyfall everyspring;;
PS4621;Educational Psychology;PS4821_PS4721 ;3;PS3508,PS2260,PS2207,PS2236,PS1000,PS1001;;everyfall everysummer1;;
PS4723;Stress and Well-being;Stress_&_Coping ;3;PS2260,BI1008,PS2236,PS2347,PS1000,PS3630,PS1001;;everyspring everysummer1 everysummerterm;;
PS4663;Social Cognition;PS4963 PS4763 ;3;PS2260,PS3526,PS2257,PS2347,PS2010,PS1000,PS1001;;everyfall everysummer1;;
PS4965;Topics in NeuroPsychology;;3;PS2260,PS2207,PS3532,PS2236,PS2347,BI1008,PS1000,PS3630,PS1001;;-;;
PS4990;Social Neuroscience;;3;PS2260,BI1008,PS2207,PS3532,PS2236,PS2347,PS1000,PS3630,PS1001;;everysummer1;;
PS4080;Internship in Psychology;;3;;;everyfall everyspring;;
ST9999;LE Natural Science without lab;;3;;;alltimes;;
FA9999;LE in Fine and Performing Arts;;3;;;alltimes;;
HUA9999;LE in Humanities #1;;3;;;alltimes;;
HUB9999;LE in Humanities #2;;3;;;alltimes;;
SOA9999;LE in Social Science #1;;3;;;alltimes;;
SOB9999;LE in Social Science #2;;3;;;alltimes;;
SOC9999;LE in Social Science #3;;3;;;alltimes;;
GEA9999;General Elective #1;;3;;;alltimes;;
GEB9999;General Elective #2;;3;;;alltimes;;
HHU9998;Honors LE in Humanities #1;;3;;;alltimes;;
HHU9999;Honors LE in Humanities #2;;3;;HHU9998;alltimes;;
HST9999;Honors LE Natural Science without lab;;3;;;alltimes;;
HSO9998;Honors LE in Social Science #1;;3;;;alltimes;;
HSO9999;Honors LE in Social Science #2;;3;;HSO9998;alltimes;;
HFA9999;Honors LE in Fine and Performing Arts;;3;;;alltimes;;
HEL2501;Honors Thesis I;;1;;;everyfall;;
HEL2602;Honors Thesis II;;2;HEL2501;;everyspring;;
